Brnd_Name,Gnrc_Name,Mftr_Name,year,Tot_Spndng,Tot_Clms,Tot_Benes
Saxenda,Liraglutide,Novo Nordisk,2019,,,
Saxenda,Liraglutide,Overall,2019,,,
Saxenda,Liraglutide,Novo Nordisk,2020,,,
Saxenda,Liraglutide,Overall,2020,,,
Saxenda,Liraglutide,Novo Nordisk,2021,28734.51,27,
Saxenda,Liraglutide,Overall,2021,28734.51,27,
Saxenda,Liraglutide,Novo Nordisk,2022,,,
Saxenda,Liraglutide,Overall,2022,,,
Saxenda,Liraglutide,Novo Nordisk,2023,33945.96,26,
Saxenda,Liraglutide,Overall,2023,33945.96,26,
Wegovy,Semaglutide,Novo Nordisk,2019,,,
Wegovy,Semaglutide,Overall,2019,,,
Wegovy,Semaglutide,Novo Nordisk,2020,,,
Wegovy,Semaglutide,Overall,2020,,,
Wegovy,Semaglutide,Novo Nordisk,2021,,,
Wegovy,Semaglutide,Overall,2021,,,
Wegovy,Semaglutide,Novo Nordisk,2022,,,
Wegovy,Semaglutide,Overall,2022,,,
Wegovy,Semaglutide,Novo Nordisk,2023,199773.59,142,47
Wegovy,Semaglutide,Overall,2023,199773.59,142,47
