Gnrc_Name,distinct_brands,total_spend_m,brand_spend_m,generic_spend_m,gdr_pct,brand_spend_share_pct
Lenalidomide,1,5541.1,3859.8,1681.3,36.0,69.7
Insulin Aspart,5,2480.8,2464.0,16.8,2.0,99.3
Insulin Lispro,9,2059.3,2037.1,22.1,6.9,98.9
Insulin Degludec,5,1809.8,1809.6,0.2,0.1,100.0
Tiotropium Bromide,2,1732.0,1706.5,25.5,1.7,98.5
Icosapent Ethyl,1,992.9,764.0,228.9,28.2,76.9
Aripiprazole,5,1043.6,670.9,372.7,93.5,64.3
Lurasidone HCl,1,688.1,455.2,233.0,65.9,66.1
Glatiramer Acetate,2,592.7,441.2,151.5,35.7,74.4
Teriparatide,1,514.1,425.0,89.1,23.7,82.7
Oxycodone HCl,5,552.4,400.5,151.9,93.8,72.5
Metformin HCl,4,628.2,380.7,247.5,72.1,60.6
Teriflunomide,1,464.3,353.9,110.4,47.0,76.2
Bupropion HCl,5,365.4,344.6,20.8,7.4,94.3
Lamotrigine,13,311.4,240.5,70.9,94.6,77.2
Dimethyl Fumarate,1,338.7,234.5,104.2,73.3,69.2
Pitavastatin Calcium,1,193.0,189.9,3.1,3.2,98.4
Venlafaxine HCl,2,200.1,177.4,22.7,12.2,88.6
Nifedipine,2,149.4,148.6,0.8,0.4,99.5
Divalproex Sodium,4,290.2,148.4,141.8,67.0,51.1
